"Aasta","Elussünnid","Surmad","Loomulik iive","Sündimuse üldkordaja","Suremuse üldkordaja","Loomuliku iibe kordaja*"
"1919",18456,28800,-10344,17.34,27.06,-9.72
"1920",19625,21363,-1738,18.38,20.01,-1.63
"1921",22067,17143,4924,20.30,15.77,4.53
"1922",22255,18401,3854,20.19,16.69,3.50
"1923",22347,16630,5717,20.12,14.97,5.15
"1924",21441,16918,4523,19.22,15.16,4.06
"1925",20445,16680,3765,18.30,14.93,3.37
"1926",19977,18047,1930,17.89,16.16,1.73
"1927",19705,19356,349,17.66,17.35,0.31
"1928",20064,17785,2279,17.98,15.94,2.04
"1929",19110,20178,-1068,17.13,18.09,-0.96
"1930",19471,16610,2861,17.45,14.88,2.57
"1931",19509,18077,1432,17.44,16.16,1.28
"1932",19742,16641,3101,17.60,14.84,2.76
"1933",18208,16472,1736,16.20,14.65,1.55
"1934",17305,15853,1452,15.36,14.07,1.29
"1935",17891,16864,1027,15.85,14.94,0.91
"1936",18222,17594,628,16.13,15.57,0.56
"1937",18190,16614,1576,16.09,14.69,1.40
"1938",18453,16496,1957,16.29,14.57,1.72
"1939",18475,17101,1374,16.38,15.16,1.22
"1940",18407,19024,-617,..,..,..
"1941",19574,23702,-4128,..,..,..
"1942",19242,20276,-1034,..,..,..
"1943",16001,18120,-2119,..,..,..
"1944",15180,24700,-9520,..,..,..
"1945",14968,20708,-5740,..,..,..
"1946",19408,19969,-561,..,..,..
"1947",22721,21492,1229,..,..,..
"1948",21777,17549,4228,..,..,..
"1949",21770,16730,5040,..,..,..
"1950",20279,15817,4462,19.57,15.26,4.31
"1951",20730,15354,5376,19.53,14.46,5.07
"1952",21111,15817,5294,19.49,14.60,4.89
"1953",20146,14420,5726,18.21,13.03,5.18
"1954",20909,13981,6928,18.52,12.38,6.14
"1955",20786,13638,7148,18.17,11.92,6.25
"1956",19660,12748,6912,16.98,11.01,5.97
"1957",19509,13026,6483,16.65,11.12,5.53
"1958",19598,12971,6627,16.54,10.95,5.59
"1959",19938,13130,6808,16.63,10.95,5.68
"1960",20187,12738,7449,16.66,10.51,6.15
"1961",20230,13036,7194,16.51,10.64,5.87
"1962",19959,13495,6464,16.07,10.87,5.20
"1963",19275,13251,6024,15.31,10.53,4.78
"1964",19629,12754,6875,15.37,9.99,5.38
"1965",18909,13520,5389,14.61,10.44,4.17
"1966",18629,13800,4829,14.24,10.55,3.69
"1967",18671,13699,4972,14.16,10.39,3.77
"1968",19782,14225,5557,14.86,10.69,4.17
"1969",20781,15150,5631,15.45,11.26,4.19
"1970",21552,15186,6366,15.85,11.17,4.68
"1971",22118,15038,7080,16.06,10.92,5.14
"1972",21757,15520,6237,15.62,11.15,4.47
"1973",21239,15573,5666,15.11,11.08,4.03
"1974",21461,15393,6068,15.13,10.85,4.28
"1975",21360,16572,4788,14.94,11.59,3.35
"1976",21801,17351,4450,15.14,12.05,3.09
"1977",21977,17094,4883,15.15,11.79,3.36
"1978",21842,17812,4030,14.96,12.20,2.76
"1979",21879,18062,3817,14.90,12.30,2.60
"1980",22204,18199,4005,15.03,12.32,2.71
"1981",22937,18349,4588,15.42,12.33,3.09
"1982",23128,17893,5235,15.43,11.94,3.49
"1983",24155,18190,5965,16.01,12.06,3.95
"1984",24234,19086,5148,15.96,12.57,3.39
"1985",23630,19343,4287,15.46,12.65,2.81
"1986",24106,17986,6120,15.65,11.68,3.97
"1987",25086,18279,6807,16.16,11.78,4.38
"1988",25060,18551,6509,16.04,11.88,4.16
"1989",24318,18536,5782,15.51,11.82,3.69
"1990",22304,19531,2773,14.21,12.45,1.76
"1991",19413,19715,-302,12.43,12.63,-0.20
"1992",18038,20126,-2088,11.77,13.13,-1.36
"1993",15253,21286,-6033,10.21,14.25,-4.04
"1994",14176,22212,-8036,9.69,15.19,-5.50
"1995",13509,20828,-7319,9.40,14.50,-5.10
"1996",13242,19020,-5778,9.35,13.44,-4.09
"1997",12577,18572,-5995,8.99,13.27,-4.28
"1998",12167,19445,-7278,8.78,14.03,-5.25
"1999",12425,18447,-6022,9.03,13.41,-4.38
"2000",13067,18403,-5336,9.35,13.17,-3.82
"2001",12632,18516,-5884,9.10,13.34,-4.24
"2002",13001,18355,-5354,9.43,13.31,-3.88
"2003",13036,18152,-5116,9.51,13.24,-3.73
"2004",13992,17685,-3693,10.27,12.98,-2.71
"2005",14350,17316,-2966,10.59,12.78,-2.19
"2006",14877,17316,-2439,11.05,12.86,-1.81
"2007",15775,17409,-1634,11.77,12.99,-1.22
"2008",16028,16675,-647,11.99,12.47,-0.48
"2009",15763,16081,-318,11.81,12.05,-0.24
"2010",15825,15790,35,11.89,11.86,0.03
"2011",14679,15244,-565,11.06,11.48,-0.43
"2012",14056,15450,-1394,10.63,11.68,-1.05
"2013",13531,15244,-1713,10.27,11.57,-1.30
"2014",13551,15484,-1933,10.31,11.78,-1.47
"2015",13907,15243,-1336,10.58,11.59,-1.01
"2016",14053,15392,-1339,10.68,11.70,-1.02
"2017",13784,15543,-1759,10.47,11.80,-1.33
"2018",14367,15751,-1384,10.87,11.91,-1.05
"2019",14099,15401,-1302,10.63,11.61,-0.98
"2020",13209,15811,-2602,9.94,11.89,-1.96
